Source,Target,Weight,type
"7638","7621",0.6651127,Undirected
"7638","7524",0.5670034,Undirected
"7638","7525",0.6730769,Undirected
"7638","7722",0.639899,Undirected
"5821","7442",0.5606838,Undirected
"5821","0615",0.008547,Undirected
"5821","6632",0.6336997,Undirected
"5821","8443",0.0098039,Undirected
"4311","7212",0.5500722,Undirected
"4311","7868",0.5944445,Undirected
"5835","2924",0.0074074,Undirected
"5835","6861",0.0185185,Undirected
"8710","2472",0.0095238,Undirected
"8710","7763",0.5636364,Undirected
"8710","7722",0.639899,Undirected
"8710","7768",0.6242424,Undirected
"7929","8451",0.0072464,Undirected
"7929","0350",0.008547,Undirected
"7929","6517",0.0133333,Undirected
"7929","6116",0.009009,Undirected
"7929","8441",0.0074074,Undirected
"7929","8433",0.0077519,Undirected
"7929","6536",0.0175439,Undirected
"7929","7928",0.5555556,Undirected
"7929","7711",0.0128205,Undirected
"7929","2785",0.0166667,Undirected
"6951","0459",0.0166667,Undirected
"6951","5239",0.5550725,Undirected
"5621","5225",0.6094607,Undirected
"5621","8732",0.010101,Undirected
"2881","8471",0.0144928,Undirected
"2686","2687",0.6652047,Undirected
"2686","0721",0.0166667,Undirected
"6252","6251",0.5555555,Undirected
"6252","2713",0.0138889,Undirected
"6252","6638",0.5507246,Undirected
"2816","2815",0.6888889,Undirected
"2816","8960",0.0151515,Undirected
"7421","7284",0.5654762,Undirected
"8998","2925",0.0138889,Undirected
"6572","6932",0.0175439,Undirected
"6572","5823",0.568254,Undirected
"2683","8122",0.0098039,Undirected
"6664","9110",0.0151515,Undirected
"2876","6785",0.015873,Undirected
"2876","6611",0.0151515,Undirected
"2876","0980",0.0098039,Undirected
"0440","2926",0.0185185,Undirected
"2772","0611",0.0087719,Undirected
"6612","8422",0.5518519,Undirected
"7919","6632",0.5972222,Undirected
"7919","7868",0.6041667,Undirected
"7919","8935",0.5835785,Undirected
"7919","7449",0.5517961,Undirected
"7919","7119",0.5612745,Undirected
"7919","6546",0.5588235,Undirected
"7919","7369",0.5541667,Undirected
"7919","7849",0.6819444,Undirected
"7919","6782",0.5569531,Undirected
"7919","6793",0.5798504,Undirected
"7919","6418",0.5541667,Undirected
"7919","7915",0.5625817,Undirected
"7919","6424",0.5742461,Undirected
"7919","7371",0.5527778,Undirected
"7919","6210",0.6277233,Undirected
"7919","6991",0.5972222,Undirected
